,Do_Not_Email,Total_Visits,Website_Time_Spent,PVPV,LD_ORIGIN_Lead Add Form,OCCU_Working Professional,LST_NTB_ACT_Email Link Clicked,LST_NTB_ACT_Email Opened,LST_NTB_ACT_Modified,LST_NTB_ACT_Olark Chat Conversation,LST_NTB_ACT_Page Visited on Website,LST_ACT_Converted to Lead,LST_ACT_Email Bounced,LD_SRC_Welingak Website,ProspectID_X,Converted,Conversion_Prob,ProspectID_y,final_predicted
0,0,0.28125,0.4546654929577465,0.5625,0,0,0,0,0,0,0,0,0,0,6297,1,0.6536316426631906,6297,1
1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,8181,0,0.9642515071862611,8181,1
2,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,7000,0,0.1045658048383487,7000,0
3,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,8052,1,0.9976881283313551,8052,1
4,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,2917,0,0.1045658048383487,2917,0
5,0,0.1875,0.14612676056338028,0.375,0,0,0,0,0,0,0,0,0,0,2723,1,0.42814188259297387,2723,0
6,0,0.25,0.4330985915492958,0.5,0,0,0,0,1,0,0,0,0,0,9072,0,0.21699586394053785,9072,0
7,1,0.0625,0.1993838028169014,0.125,0,0,0,0,1,0,0,0,1,0,5420,0,0.013237095205514825,5420,0
8,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,7045,1,0.9970471553989585,7045,1
9,0,0.03125,0.12984154929577466,0.0625,0,0,0,0,1,0,0,1,0,0,4082,0,0.05595564764074455,4082,0
10,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,2758,0,0.1045658048383487,2758,0
11,0,0.0625,0.09154929577464789,0.125,0,0,0,0,1,0,0,0,0,0,3199,0,0.11918681721940337,3199,0
12,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,9182,0,0.1045658048383487,9182,0
13,0,0.09375,0.7539612676056339,0.1875,0,0,0,1,0,0,0,0,0,0,2162,1,0.7539478305288996,2162,1
14,1,0.34375,0.08362676056338028,0.229375,0,0,0,0,1,0,0,0,0,0,8663,0,0.038434243186223946,8663,0
15,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,7763,1,0.1045658048383487,7763,0
16,0,0.03125,0.1210387323943662,0.0625,0,0,0,0,1,0,0,1,0,0,1004,0,0.05407548332333556,1004,0
17,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5269,0,0.44932496699871777,5269,1
18,0,0.125,0.1091549295774648,0.125,0,0,0,0,1,0,0,0,0,0,464,0,0.1402698939552086,464,0
19,0,0.0625,0.0035211267605633804,0.125,0,0,0,1,0,0,0,0,0,0,9058,0,0.1359733068645458,9058,0
20,0,0.21875,0.37191901408450706,0.4375,0,0,1,0,0,0,0,0,0,0,4738,1,0.20192828349224975,4738,0
21,0,0.1875,0.42649647887323944,0.125,0,0,0,1,0,0,0,0,0,0,7014,1,0.5295320003711975,7014,1
22,0,0.09375,0.07306338028169014,0.1875,0,0,0,0,1,0,0,1,0,0,2855,0,0.03599531809974067,2855,0
23,0,0.1875,0.06954225352112677,0.1875,0,0,0,0,0,0,0,0,0,0,5244,0,0.47783105320056546,5244,1
24,0,0.09375,0.05985915492957747,0.09375,0,0,0,0,1,0,0,0,0,0,3680,0,0.12056603695227001,3680,0
25,0,0.21875,0.37808098591549294,0.109375,0,0,0,0,0,0,0,0,0,0,8665,0,0.8101640181000862,8665,1
26,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,5740,0,0.1045658048383487,5740,0
27,0,0.1875,0.061179577464788734,0.1875,0,0,0,0,0,0,0,0,0,0,7578,0,0.46926538657638217,7578,1
28,0,0.09375,0.4185739436619718,0.09375,0,0,0,0,1,0,0,0,0,0,4973,1,0.3744363288720404,4973,0
29,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,6396,0,0.053167431169329316,6396,0
30,0,0.125,0.4159330985915493,0.125,0,0,0,0,1,0,0,0,0,0,738,1,0.36526317753975945,738,0
31,0,0.15625,0.05677816901408451,0.15625,0,0,0,0,1,0,0,0,0,0,2836,1,0.11337102033184905,2836,0
32,1,0.125,0.7632042253521127,0.25,0,0,0,1,0,0,0,0,0,0,9048,1,0.4077864505710493,9048,0
33,0,0.21875,0.3956866197183099,0.145625,0,0,0,0,1,0,0,0,0,0,4413,1,0.3727777846941007,4413,0
34,0,0.0625,0.41461267605633806,0.125,0,0,0,1,0,0,0,0,0,0,1318,1,0.4600614042050654,1318,1
35,0,0.09375,0.022887323943661973,0.1875,0,0,0,0,1,0,0,0,0,0,620,0,0.08342704420110879,620,0
36,0,0.0625,0.8723591549295775,0.125,0,0,0,0,1,0,0,0,0,0,9026,0,0.7699370569980599,9026,1
37,1,0.21875,0.3855633802816901,0.21875,0,0,0,0,0,0,0,0,1,0,1065,0,0.17177170233599123,1065,0
38,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,4400,0,0.1631734653873947,4400,0
39,1,0.1875,0.15757042253521128,0.375,0,0,0,0,1,0,0,0,0,0,7439,0,0.02651978328890154,7439,0
40,0,0.125,0.043133802816901406,0.125,0,0,0,0,0,0,0,0,0,0,6576,1,0.4650030455873448,6576,1
41,0,0.21875,0.7328345070422535,0.21875,0,0,0,0,1,0,0,0,0,0,1030,1,0.6601419999858393,1030,1
42,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1759,0,0.1045658048383487,1759,0
43,0,0.34375,0.47491197183098594,0.114375,0,0,0,1,0,0,0,0,0,0,6256,1,0.653240038036577,6256,1
44,0,0.09375,0.029049295774647887,0.1875,0,0,0,1,0,0,0,0,0,0,231,0,0.1348590490206069,231,0
45,1,0.0625,0.48547535211267606,0.125,0,0,0,0,0,0,0,0,0,0,7142,0,0.5364320820229517,7142,1
46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2083,1,0.44932496699871777,2083,1
47,0,0.1875,0.037852112676056336,0.375,0,0,0,0,1,0,0,0,0,0,7456,1,0.06426017446714889,7456,0
48,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,6374,0,0.1045658048383487,6374,0
49,0,0.21875,0.4784330985915493,0.4375,0,0,0,0,0,0,0,0,0,0,5508,0,0.7234228906537719,5508,1
50,0,0.09375,0.10387323943661972,0.09375,0,0,0,0,1,0,0,0,0,0,1992,0,0.14109311923245976,1992,0
51,0,0.125,0.011443661971830986,0.125,0,0,0,0,1,0,0,0,0,0,8289,0,0.09845451035118223,8289,0
52,0,0.1875,0.5686619718309859,0.375,0,0,0,0,0,0,0,0,0,0,6540,0,0.8094795320213123,6540,1
53,0,0.71875,0.5902288732394366,0.130625,0,0,0,0,1,0,0,0,0,0,8684,1,0.7752788108439213,8684,1
54,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,8499,1,0.9642515071862611,8499,1
55,0,0.21875,0.3983274647887324,0.21875,0,0,0,0,0,0,0,0,0,0,3147,1,0.774453886725801,3147,1
56,0,0.0625,0.10783450704225353,0.125,0,0,0,0,0,0,0,0,0,0,8794,0,0.5027127825779107,8794,1
57,0,0.0625,0.44762323943661975,0.125,0,0,0,0,0,0,0,0,0,0,5473,1,0.8032827509229103,5473,1
58,0,0.21875,0.48327464788732394,0.145625,0,0,0,0,1,0,0,1,0,0,6615,0,0.22138004700877453,6615,0
59,0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,6438,1,0.8656973536826565,6438,1
60,0,0.21875,0.015404929577464789,0.0875,0,0,0,0,0,0,1,0,0,0,8216,0,0.1229349845707324,8216,0
61,0,0.0625,0.3058978873239437,0.125,0,0,0,0,0,0,0,0,0,0,3249,1,0.6952189478363648,3249,1
62,0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,1,737,1,0.9877587198885883,737,1
63,0,0.21875,0.4084507042253521,0.21875,0,0,0,1,0,0,0,0,0,0,6240,1,0.4610347441482683,6240,1
64,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8211,1,0.44932496699871777,8211,1
65,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4141,1,0.44932496699871777,4141,1
66,0,0.0625,0.1540492957746479,0.125,0,0,0,0,1,0,0,0,0,0,4124,0,0.14888665645559976,4124,0
67,0,0.125,0.6575704225352113,0.25,0,0,0,0,0,0,0,0,0,0,5159,1,0.8850084825975935,5159,1
68,0,0.09375,0.11179577464788733,0.1875,0,0,0,0,0,0,1,0,0,0,3066,0,0.11172108941624843,3066,0
69,0,0.125,0.06910211267605634,0.25,0,0,0,1,0,0,0,0,0,0,359,0,0.140819249428132,359,0
70,0,0.0625,0.13600352112676056,0.125,0,0,0,1,0,0,0,0,0,0,2459,0,0.21335571264386588,2459,0
